GROUPE,SOUSGROUPE,ALIMENT,CALORIES,PROTEINES,GLUCIDES,LIPIDES,FRUCTOSE,SUCRES,GALACTOSE,GLUCOSE,LACTOSE,MALTOSE,SACCHAROSE,AMIDON
soupes,entrées et plats composés,"Soupe de poissons et / ou crustacés, déshydratée reconstituée",29.0,0.91,5.09,0.5,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe asiatique, avec pâtes, déshydratée reconstituée",29.8,0.97,5.25,0.44,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe marocaine, déshydratée reconstituée",34.3,1.2,5.77,0.55,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",26.1,0.63,4.84,0.41,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe à la volaille et aux légumes, déshydratée reconstituée",27.3,0.99,4.58,0.44,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Bouillon de boeuf, déshydraté reconstitué",9.05,0.6,1.33,0.15,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe aux asperges, déshydratée reconstituée",35.3,0.6,5.14,1.31,0.0,0.99,0.0,0.0,0.0,0.0,0.0,2.8
soupes,entrées et plats composés,"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",37.7,1.1,5.87,0.8,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe aux céréales et aux légumes, déshydratée reconstituée",47.8,1.4,6.8,1.4,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe à la tomate, déshydratée reconstituée",36.2,0.76,5.79,0.97,0.49,2.44,0.0,0.68,0.2,0.29,0.98,2.4
soupes,entrées et plats composés,"Soupe aux champignons, déshydratée reconstituée",37.8,0.65,4.37,1.79,0.2,0.63,0.0,0.2,0.2,0.2,0.2,2.3
soupes,entrées et plats composés,"Soupe à l'oignon, déshydratée reconstituée",24.0,0.58,4.37,0.4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe au potiron, préemballée à réchauffer",35.9,0.67,4.13,1.56,0.39,2.37,0.0,0.3,0.2,0.2,1.68,1.1
soupes,entrées et plats composés,"Bouillon de volaille, déshydraté reconstitué",5.58,0.6,0.5,0.13,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Bouillon de légumes, déshydraté reconstitué",5.38,0.34,0.65,0.16,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.2
soupes,entrées et plats composés,"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",21.6,0.63,4.21,0.18,0.24,0.72,0.0,0.24,0.2,0.24,0.4,3.5
soupes,entrées et plats composés,"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",21.3,0.75,3.87,0.25,0.2,0.31,0.0,0.2,0.2,0.2,0.2,3.4
soupes,entrées et plats composés,"Soupe au pistou, préemballée à réchauffer",31.9,2.0,4.1,0.5,0.0,0.25,0.0,0.2,0.0,0.2,0.25,0.0
soupes,entrées et plats composés,"Soupe au potiron, déshydratée reconstituée",38.3,0.79,5.61,1.24,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0
