Aliment,Energie,Proteines,Glucides,Lipides,Fructose,Sucres,Galactose,Glucose,Lactose,Maltose,Saccharose,Amidon
"Soupe aux céréales et aux légumes, déshydratée reconstituée",47.8,1.4,6.8,1.4,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe à la tomate, déshydratée reconstituée",36.2,0.76,5.79,0.97,0.49,2.44,0.0,0.68,0.2,0.29,0.98,2.4
"Soupe aux champignons, déshydratée reconstituée",37.8,0.65,4.37,1.79,0.2,0.63,0.0,0.2,0.2,0.2,0.2,2.3
"Soupe à l'oignon, déshydratée reconstituée",24.0,0.58,4.37,0.4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe au potiron, préemballée à réchauffer",35.9,0.67,4.13,1.56,0.39,2.37,0.0,0.3,0.2,0.2,1.68,1.1
"Bouillon de volaille, déshydraté reconstitué",5.58,0.6,0.5,0.13,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
"Bouillon de légumes, déshydraté reconstitué",5.38,0.34,0.65,0.16,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.2
"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",21.6,0.63,4.21,0.18,0.24,0.72,0.0,0.24,0.2,0.24,0.4,3.5
"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",21.3,0.75,3.87,0.25,0.2,0.31,0.0,0.2,0.2,0.2,0.2,3.4
"Soupe au pistou, préemballée à réchauffer",31.9,2.0,4.1,0.5,0.0,0.25,0.0,0.2,0.0,0.2,0.25,0.0
"Soupe au potiron, déshydratée reconstituée",38.3,0.79,5.61,1.24,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe asiatique, avec pâtes, préemballée à réchauffer",22.3,0.7,3.4,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe minestrone, déshydratée reconstituée",31.3,1.14,5.53,0.34,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe au cresson, déshydratée reconstituée",25.1,0.42,3.95,0.8,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe au cresson, préemballée à réchauffer",34.0,1.0,5.4,0.8,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe aux légumes avec fromage, préemballée à réchauffer",50.2,1.34,5.09,2.51,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe aux légumes verts, préemballée à réchauffer",33.4,1.0,3.84,1.32,0.2,0.81,0.0,0.2,0.2,0.2,0.4,3.03
"Soupe aux légumes verts, déshydratée reconstituée",34.8,0.72,5.31,1.07,0.2,1.07,0.0,0.2,0.2,0.2,0.4,3.3
"Soupe aux pois cassés, préemballée à réchauffer",56.7,2.68,6.25,1.98,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe froide type Gaspacho ou Gazpacho, préemballée",32.8,0.65,3.38,1.62,1.2,2.32,0.0,1.12,0.2,0.2,0.2,0.35
"Soupe aux asperges, préemballée à réchauffer",133.0,4.6,4.7,10.4,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe miso, déshydratée reconstituée",17.1,1.38,2.18,0.5,0.2,0.69,0.0,0.69,0.2,0.2,0.2,0.0
Tripes à la mode de Caen,116.0,20.4,0.3,3.68,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.3
"Tripes à la mode de Caen, préemballées",112.0,18.4,0.7,3.62,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Tripes à la tomate ou à la provençale,94.1,15.7,0.6,3.2,0.0,0.4,0.0,0.2,0.0,0.2,0.4,0.0
Blanquette de veau,113.0,15.4,3.1,4.0,0.2,0.3,0.0,0.2,0.2,0.2,0.3,1.9
Boeuf bourguignon,84.6,8.93,4.17,3.3,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.3
"Sauté d'agneau au curry, préemballé",0.0,10.5,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Canard en sauce (poivre vert, chasseur, etc.), préemballé",145.0,9.55,10.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lapin à la moutarde, préemballé",108.0,14.9,0.5,5.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Coq au vin,133.0,13.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Paupiette de veau,193.0,14.5,2.6,13.8,0.0,0.41,0.0,0.0,0.0,0.0,0.0,2.19
Paupiette de volaille,164.0,23.9,8.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97
Poulet au curry et au lait de coco,124.0,10.6,3.15,6.9,0.37,1.49,0.0,0.45,0.22,0.2,0.45,1.65
"Meloukhia, plat à base de boeuf et corete, fait maison",189.0,10.6,1.2,14.7,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
"Palette à la diable, préemballée",120.0,13.5,2.08,6.07,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0
"Langue de boeuf sauce madère, préemballée",180.0,9.5,4.5,13.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
"Porc au caramel, préemballé",136.0,10.0,11.4,5.4,1.8,7.9,0.0,2.7,0.2,0.7,2.7,1.3
"Boulettes au boeuf, à la sauce tomate, préemballées",117.0,9.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Paupiette de veau, préemballée,  cuite au four",276.0,22.0,0.48,20.5,0.2,0.3,0.0,0.3,0.2,0.2,0.2,0.35
"Carpaccio de boeuf, avec marinade",271.0,15.2,0.55,23.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0024
Yakitori (brochettes japonaises grillées en sauce),172.0,26.0,9.3,3.3,1.1,6.6,0.0,1.4,0.2,0.2,3.9,1.3
"Brochette de boeuf, cuite",139.0,21.9,0.33,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Brochette de volaille, cuite",137.0,23.1,1.39,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hachis parmentier à la viande, préemballé",138.0,5.99,9.39,8.22,0.18,1.47,0.0,0.18,0.94,0.2,0.16,0.0
Couscous au mouton,149.0,8.31,12.2,7.2,0.0,1.38,0.0,0.0,0.0,0.0,0.0,10.8
"Couscous à la viande ou au poulet, préemballé, allégé",90.7,5.9,11.5,1.9,0.0,2.1,0.0,0.0,0.0,0.0,0.0,9.4
"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",168.0,3.2,16.2,9.6,0.2,1.7,0.0,0.6,0.2,0.2,0.3,14.5
"Couscous royal (avec plusieurs viandes), préemballé",132.0,7.69,14.0,4.53,0.46,1.57,0.0,0.48,0.1,0.31,0.28,12.5
Couscous au poulet,130.0,7.5,15.6,3.85,0.0,2.87,0.0,0.0,0.0,0.0,0.0,12.8
"Couscous à la viande, préemballé",128.0,7.59,12.5,4.73,0.5,1.97,0.0,0.6,0.1,0.55,0.25,0.0
"Parmentier de canard, préemballé",146.0,6.82,8.51,9.06,0.3,1.96,0.0,0.3,0.0,0.3,0.2,0.0
"Parmentier de canard, préemballé, cuit",168.0,7.0,10.5,10.2,0.2,1.7,0.0,0.2,1.7,0.2,0.2,8.4
"Cassoulet, appertisé",129.0,8.06,9.41,5.77,0.3,1.06,0.0,0.2,0.0,0.28,0.29,7.3
"Choucroute garnie, préemballée",109.0,5.06,2.8,8.06,0.3,0.66,0.0,0.28,0.0,0.28,0.29,0.0
"Petit salé ou saucisse aux lentilles, préemballé",118.0,8.24,8.89,4.87,0.3,1.51,0.0,0.22,0.0,0.28,0.3,6.3
"Pot-au-feu, préemballé",77.5,10.9,3.2,2.02,0.0,1.5,0.0,0.4,0.0,0.2,0.7,1.7
Boeuf aux carottes,96.6,13.2,3.3,3.15,0.0,0.6,0.0,0.0,0.0,0.0,0.0,2.7
Potée auvergnate (chou et porc),82.1,6.0,3.7,4.3,0.31,0.86,0.0,0.37,0.0,0.3,0.19,2.84
"Cassoulet au porc, appertisé",132.0,8.3,8.6,6.3,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
"Cassoulet au canard ou oie, appertisé",161.0,10.5,10.1,7.86,0.0,1.09,0.0,0.2,0.0,0.2,0.4,0.0
Tomate farcie,122.0,5.49,2.0,9.67,0.47,0.88,0.0,0.41,0.3,0.3,0.3,1.12
"Chou farci, préemballé",94.9,5.3,2.0,6.6,0.72,2.0,0.0,0.88,0.3,0.3,0.4,0.0
"Chili con carne, préemballé",118.0,7.13,13.0,3.35,0.49,2.58,0.0,0.42,0.0,0.1,0.77,4.6
Moussaka,147.0,5.82,5.16,10.8,0.88,3.01,0.0,0.91,0.29,0.084,0.85,0.9
Navarin d'agneau aux légumes,133.0,8.05,5.0,8.61,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.61
Tajine de mouton,132.0,12.8,4.5,6.83,0.0,2.4,0.0,0.0,0.0,0.0,0.0,2.1
Osso buco,96.7,11.2,3.5,4.08,0.0,1.1,0.0,0.0,0.0,0.0,0.0,2.3
"Poulet basquaise, préemballé",107.0,9.3,2.5,6.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tajine de poulet, préemballé",127.0,7.54,14.4,3.7,3.1,6.8,0.0,3.2,0.2,0.2,0.5,2.3
"Chop suey (porc ou poulet), préemballé",78.2,5.0,7.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Légumes farcis (sauf tomate),69.8,6.4,3.6,3.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,1.01
Moules marinières (oignons et vin blanc),92.0,10.3,7.43,2.24,0.3,1.05,0.0,0.3,0.0,0.21,0.3,0.0
"Moules farcies (matière grasse, persillade…), préemballées, crues",284.0,9.56,4.43,24.8,0.2,0.3,0.0,0.2,0.3,0.2,0.2,0.0
"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",105.0,6.13,8.39,5.1,0.21,2.48,0.1,0.34,1.64,0.17,0.12,0.0
"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",117.0,6.69,5.28,7.5,0.38,1.6,0.0,0.28,0.75,0.2,0.19,2.3
"Saumon à l'oseille, préemballé",133.0,8.36,7.43,7.65,0.3,0.58,0.0,0.3,0.0,0.3,0.3,0.0
"Poisson blanc à la bordelaise, préemballé",176.0,14.8,5.3,10.4,0.35,1.09,0.0,0.26,0.17,0.058,0.25,3.7
"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé",75.2,9.31,3.1,2.3,0.87,2.0,0.0,0.79,0.1,0.082,0.26,0.0
"Poisson blanc à la florentine (sauce aux épinards), préemballé",100.0,11.4,2.9,4.35,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0
"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",80.0,11.5,2.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Poisson blanc à la sauce moutarde, préemballé",90.8,9.2,5.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Poisson blanc à la parisienne (sauce aux champignons), préemballé",79.9,9.16,3.0,3.25,0.1,0.86,0.0,0.1,0.1,0.1,0.13,0.0
"Poisson blanc à l'estragon, préemballé",77.2,8.8,4.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Poisson blanc sauce oseille, préemballé",114.0,11.8,3.9,5.5,0.1,1.65,0.0,0.14,0.7,0.16,0.1,0.0
"Saumon farci, préemballé",227.0,18.8,0.4,16.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Brochette de poisson,127.0,18.0,0.86,5.71,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.012
Brochette de crevettes,93.5,18.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
"Poisson en sauce, surgelé",132.0,13.3,3.18,7.05,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
Paëlla,148.0,7.86,17.1,4.9,0.32,1.2,0.0,0.43,0.2,0.2,0.23,15.1
Couscous au poisson,105.0,7.5,14.2,1.6,0.0,1.7,0.0,0.0,0.0,0.0,0.0,12.5
"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",117.0,6.39,8.57,6.15,0.23,1.62,0.0,0.23,0.73,0.23,0.23,6.4
Sushi ou Maki aux produits de la mer,171.0,6.69,26.9,3.7,1.76,4.93,0.1,2.28,0.1,0.31,0.58,19.0
Terrine ou mousse de légumes,0.0,4.05,5.6,9.56,0.0,1.77,0.0,0.0,0.0,0.0,0.0,3.83
Flan de légumes,0.0,5.38,4.13,18.6,0.49,2.06,0.1,0.46,1.01,0.1,0.1,1.5
"Haricots blancs à la sauce tomate, appertisés",0.0,4.67,10.1,0.4,0.3,1.65,0.0,0.3,0.0,0.3,0.3,0.0
"Piperade basquaise, préemballée",0.0,1.1,6.5,3.8,1.98,4.9,0.0,1.74,0.2,0.2,1.19,0.0
"Poêlée de légumes assaisonnés sans champignon, surgelée, crue",81.2,2.6,12.1,1.77,0.53,1.5,0.0,0.34,0.0,0.14,0.49,0.0
"Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue",0.0,3.13,5.83,3.93,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0
"Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue",0.0,1.61,4.33,1.77,1.13,2.66,0.0,1.0,0.3,0.13,0.4,0.0
"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée",0.0,1.89,3.59,1.21,0.8,1.81,0.0,0.82,0.0,0.3,0.18,0.0
"Ratatouille cuisinée, préemballée",0.0,1.22,4.97,3.15,1.4,3.91,0.0,1.5,0.2,0.2,0.3,0.0
"Épinards à la crème, préemballés",0.0,2.5,4.1,2.9,0.12,1.19,0.1,0.1,1.07,0.1,0.1,0.0
"Gratin d'aubergine, préemballé",0.0,1.95,5.45,8.68,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Gratin dauphinois,0.0,3.38,14.5,4.2,0.2,2.08,0.1,0.26,0.94,0.57,0.11,12.0
Endive au jambon,0.0,7.44,4.71,6.3,0.25,1.98,0.1,0.66,1.08,0.1,0.1,2.73
"Gratin de chou-fleur, préemballé",0.0,3.0,3.3,6.5,0.33,0.88,0.0,0.38,0.0,0.3,0.3,2.42
Gratin de légumes,0.0,3.44,6.91,6.7,0.63,3.42,0.1,0.66,1.58,0.1,0.45,1.65
"Riste d'aubergines (aubergines, tomates, oignons), préemballée",0.0,1.05,10.6,10.4,0.0,5.2,0.0,1.5,0.0,0.2,0.8,0.0
"Palet ou galette de légumes, préfrit, surgelé",0.0,3.29,10.7,5.44,0.47,3.34,0.0,0.47,0.0,0.3,0.58,0.0
"Palet ou galette de légumes, préfrit, surgelé, cuit",0.0,3.31,8.45,5.7,1.0,3.0,0.0,0.8,0.7,0.2,0.5,4.5
"Choucroute, sans garniture, égouttée, cuite",75.3,1.38,0.1,6.6,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.35
"Tomate à la provençale, fait maison",0.0,1.65,6.55,4.32,0.0,2.71,0.0,0.0,0.0,0.0,0.0,3.84
Beignet de légumes,0.0,3.52,23.0,8.52,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0
"Falafel ou Boulette de pois-chiche et/ou fève, frite",252.0,8.25,18.7,14.4,0.2,1.4,0.0,0.3,0.2,0.3,0.8,11.9
"Gratin de légumes en sauce blanche type béchamel, cuit",0.0,3.56,6.74,6.5,0.39,3.2,0.0,0.58,1.55,0.2,0.68,2.9
"Falafel ou Boulette de pois-chiche et/ou fève, préemballé",211.0,7.38,17.7,10.8,0.4,3.57,0.1,0.55,0.1,1.73,0.89,9.5
"Blé dur précuit cuisiné, en sachet micro-ondable",188.0,5.29,29.5,4.84,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0
"Blé dur précuit, grains entiers, cuisiné, à poêler",344.0,12.1,67.2,1.59,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0
"Ravioli à la viande, sauce tomate, appertisé",95.3,4.22,12.5,2.83,0.68,2.23,0.0,0.63,0.2,0.25,0.67,7.4
Lasagnes ou cannelloni à la viande (bolognaise),134.0,6.29,13.5,5.72,0.65,2.84,0.0,0.58,0.74,0.38,0.31,8.9
"Pâtes à la bolognaise (spaghetti, tagliatelles…)",116.0,5.32,13.6,4.07,0.7,2.64,0.0,0.72,0.075,0.25,0.34,10.5
Riz cantonais,164.0,5.46,23.6,4.94,0.1,1.28,0.0,0.075,0.1,0.1,0.38,18.4
"Ravioli chinois à la vapeur à la crevette, cuit",190.0,5.5,27.8,5.5,0.2,1.1,0.0,0.2,0.2,0.2,1.1,22.1
Gratin de pâtes,179.0,7.06,16.4,9.2,0.1,2.19,0.1,0.2,1.47,0.52,0.1,11.9
"Lasagnes ou cannellonis aux légumes, préemballées, cuits",103.0,2.75,11.0,4.85,1.48,4.75,0.0,1.43,0.1,0.74,1.11,0.0
"Pâtes à la carbonara (spaghetti, tagliatelles…)",161.0,5.91,14.2,8.7,0.2,1.79,0.0,0.094,0.26,0.27,0.19,12.5
"Lasagnes ou cannellonis au poisson, préemballées",148.0,7.28,13.0,7.1,0.3,2.03,0.0,0.3,0.0,0.3,0.3,0.0
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites",226.0,10.0,26.8,8.3,0.1,4.4,0.1,0.17,0.96,3.04,0.13,17.9
"Couscous de légumes, préemballé",108.0,4.32,16.4,2.25,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites",219.0,7.94,27.8,7.5,0.31,3.53,0.1,0.39,1.93,0.51,0.39,20.8
"Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues",265.0,11.4,40.3,5.79,0.4,3.91,0.0,0.44,0.0,1.23,0.56,0.0
"Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites",174.0,6.94,25.1,4.65,0.2,1.0,0.0,0.2,0.4,0.6,0.4,22.1
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues",268.0,11.3,37.3,7.69,0.5,3.83,0.0,0.5,0.5,0.5,0.5,9.6
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues",262.0,9.98,41.4,5.69,0.3,3.46,0.0,0.16,0.0,1.74,0.26,0.0
Nouilles sautées/poêlées aux crevettes,104.0,4.88,12.6,3.4,0.4,1.7,0.0,0.4,0.2,0.3,0.6,10.4
"Riz blanc, avec poulet, préemballé, cuit",175.0,4.44,31.5,3.19,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0
"Riz blanc, avec légumes et viande, préemballé, cuit",167.0,4.85,28.3,3.57,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0
"Risotto, aux légumes, préemballé",120.0,2.88,18.4,3.8,0.13,0.85,0.1,0.18,0.36,0.1,0.18,0.0
"Risotto, aux fruits de mer, préemballé",130.0,5.75,12.5,6.07,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0
"Risotto, aux fromages, préemballé",195.0,5.93,30.9,5.16,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0
"Raviolis aux légumes, sauce tomate, appertisés",91.1,2.88,13.5,2.45,0.8,2.83,0.0,0.7,0.2,0.3,0.8,10.7
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites",156.0,5.19,20.9,4.9,0.3,1.9,0.0,0.3,0.8,0.5,0.4,19.0
"Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées",163.0,7.17,15.9,7.4,0.0,5.85,0.0,0.0,0.0,0.0,0.0,0.0
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues",255.0,9.4,41.4,5.06,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0
"Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée",150.0,2.63,18.6,6.5,0.4,0.8,0.0,0.4,0.2,0.2,0.2,17.8
"Lasagnes ou cannellonis aux légumes, préemballés, cuits",122.0,4.38,11.8,5.9,1.3,4.3,0.0,1.3,1.0,0.4,0.3,7.5
"Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits",179.0,7.0,14.0,10.2,0.38,2.3,0.0,0.38,1.15,0.38,0.2,11.5
"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",133.0,6.1,11.4,6.6,0.3,3.5,0.0,0.3,0.0,0.3,0.3,0.0
"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",195.0,8.06,9.5,13.3,0.1,0.57,0.18,0.1,0.21,0.1,0.18,0.0
"Fromage de chèvre pané à dorer, préemballé",0.0,12.7,15.0,19.2,0.2,3.5,0.0,0.4,0.9,2.2,0.2,11.3
Soufflé au fromage,184.0,12.9,3.8,12.6,0.0,1.77,0.0,0.0,0.0,0.0,0.0,2.03
"Tartiflette, préemballée",161.0,6.0,13.5,8.9,0.17,1.25,0.1,0.41,0.49,0.1,0.18,9.3
Gougère,399.0,16.2,22.7,26.6,0.1,0.56,0.1,0.11,0.1,0.45,0.1,18.0
